광역시도,시군구,20~39세계,20~39세여자,65세이상계,인구수계,인구수남자,인구수여자,소멸비율,소멸위기지역,소멸위기고위험지역,ID,y,x
전라남도,영암군,10064,4427,14080,53651,27599,26052,0.3144176136363636,1,0,영암,23,1
전라남도,완도군,7981,3472,16025,50007,25134,24873,0.2166614664586584,1,0,완도,25,2
전라남도,장성군,8299,3604,13109,44715,22983,21732,0.2749256236173621,1,0,장성,19,2
전라남도,장흥군,6050,2759,12733,37859,18382,19477,0.21668106494934425,1,0,장흥,24,2
전라남도,진도군,4905,2162,10130,30722,15149,15573,0.2134254689042448,1,0,진도,24,0
전라남도,함평군,4756,2053,11546,32098,16105,15994,0.1778104971418673,1,1,함평,20,1
전라남도,해남군,10907,5045,21946,69000,34053,34947,0.2298824387132052,1,0,해남,23,0
전라남도,화순군,11610,5479,16416,62182,30773,31409,0.33375974658869395,1,0,화순,21,4
전라북도,고창군,8348,3732,18475,54579,27019,27560,0.20200270635994588,1,0,고창,18,1
전라북도,군산시,61125,28489,48768,266687,134815,131872,0.5841740485564304,0,0,군산,16,2
전라북도,김제시,14113,6415,25757,82405,40902,41504,0.2490585083666576,1,0,김제,17,3
전라북도,남원시,14155,6603,22274,80654,39528,41126,0.29644428481637786,1,0,남원,18,5
전라북도,덕진구,85159,41045,43137,315225,156842,158383,0.9515033497925216,0,0,전주 덕진,18,3
전라북도,무주군,3591,1615,7950,24069,11977,12092,0.20314465408805032,1,0,무주,16,5
전라북도,부안군,8417,3800,17061,52251,25966,26286,0.22273020338784366,1,0,부안,17,2
전라북도,순창군,4243,2056,9330,27930,13575,14356,0.22036441586280814,1,0,순창,20,3
전라북도,완산구,88971,43295,52054,337634,164462,173172,0.8317324317055366,0,0,전주 완산,19,3
전라북도,완주군,18698,8722,20798,91372,46928,44444,0.4193672468506587,1,0,완주,17,4
전라북도,익산시,65967,30705,54379,283174,141054,142120,0.5646481178396072,0,0,익산,16,3
전라북도,임실군,4387,1912,9834,27928,14241,13688,0.19442749644091925,1,1,임실,19,4
전라북도,장수군,3345,1540,7397,22159,11037,11122,0.20819251047722048,1,0,장수,17,5
전라북도,정읍시,19791,9088,29484,108474,53843,54631,0.3082349749016416,1,0,정읍,18,2
전라북도,진안군,3712,1749,8706,25361,12817,12544,0.20089593383873192,1,0,진안,18,4
제주특별자치도,서귀포시,39418,18952,34153,180430,91224,89206,0.5549146487863438,0,0,서귀포,26,5
제주특별자치도,제주시,125959,60878,67662,486839,244152,242688,0.8997369276698886,0,0,제주,25,5
충청남도,계룡시,9618,4561,4911,42707,21244,21463,0.9287314192628792,0,0,계룡,14,4
충청남도,공주시,21344,9744,26790,104677,52455,52222,0.3637178051511758,1,0,공주,12,4
충청남도,금산군,8019,3606,15693,51373,25903,25471,0.2297839801185242,1,0,금산,15,3
충청남도,논산시,22593,10290,30245,116626,58349,58277,0.34022152421887913,1,0,논산,14,3
충청남도,당진시,39714,16973,30399,165750,87808,77942,0.5583407348925952,0,0,당진,12,1
충청남도,동남구,69089,32688,35681,256758,130013,126745,0.9161178218099268,0,0,천안 동남,11,2
충청남도,보령시,19330,8443,25346,99853,50593,49260,0.3331097609090192,1,0,보령,13,2
충청남도,부여군,10100,4421,22164,65431,32477,32955,0.19946760512542866,1,1,부여,14,2
충청남도,서북구,131984,62402,33268,394727,201935,192792,1.8757364434291208,0,0,천안 서북,11,3
충청남도,서산시,41640,18008,31571,174315,90479,83837,0.5703968832156092,0,0,서산,13,1
충청남도,서천군,7565,3248,18551,51821,25628,26193,0.17508490108349956,1,1,서천,15,2
충청남도,아산시,85688,39333,40747,313250,162307,150943,0.9652980587527916,0,0,아산,11,1
충청남도,예산군,13242,5837,23994,78072,39228,38844,0.24326915062098856,1,0,예산,12,3
충청남도,청양군,4931,2113,10851,31134,15756,15379,0.1947285964427241,1,1,청양,13,3
충청남도,태안군,10451,4471,18864,62051,31335,30716,0.2370122985581001,1,0,태안,11,0
충청남도,홍성군,20483,9551,23306,99547,49507,50040,0.40980863297005066,1,0,홍성,12,2
충청북도,괴산군,6048,2567,12747,38968,19995,18974,0.2013807170314584,1,0,괴산,12,8
충청북도,단양군,4411,1931,8752,29143,14783,14361,0.22063528336380256,1,0,단양,11,7
충청북도,보은군,4706,2047,10967,32403,16307,16096,0.1866508616759369,1,1,보은,13,8
충청북도,상당구,45413,21537,28094,183083,91044,92040,0.7666049690325336,0,0,청주 상당,14,6
충청북도,서원구,52446,24741,28508,197773,98076,99698,0.86786165286937,0,0,청주 서원,14,7
충청북도,영동군,8038,3663,14708,47737,23732,24005,0.2490481370682621,1,0,영동,15,7
충청북도,옥천군,8472,3839,14710,50381,25424,24958,0.2609789259007478,1,0,옥천,15,6
충청북도,음성군,19630,8445,19252,93181,49273,43908,0.438655724080615,1,0,음성,11,5
충청북도,제천시,28234,13018,28247,132883,66629,66254,0.4608631005062485,1,0,제천,10,7
충청북도,증평군,9381,4077,6236,36893,19130,17763,0.6537844772289929,0,0,증평,13,6
충청북도,진천군,20447,9013,13290,81958,42893,39065,0.6781790820165537,0,0,진천,12,5
충청북도,청원구,58449,26661,23978,194256,99503,94754,1.1118942363833515,0,0,청주 청원,13,7
충청북도,충주시,47962,21293,40566,209084,105733,103351,0.5248976975792535,0,0,충주,12,6
충청북도,흥덕구,81443,37975,28478,262632,133185,129448,1.3334854975770771,0,0,청주 흥덕,12,7
